date,menu,note
20220103,プランク,x3
20220104,ランニング,2.28km;19min
20220107,ウォーキング,4.4km;80min
20230109,ベンチプレス,40kg;7
20230109,スクワット,52.5kg;13
20230109,プルアップ,3
20230112,背筋,自重;14
20230112,腹筋,アブドミナルマシン;25kg
20230116,ベンチプレス,40kg;10
20230116,スクワット,60kg;13
20230121,デッドリフト,60kg;10
20230121,ラットプルダウン,40kg;10
20230123,ベンチプレス,50kg;5
20230123,アブドミナルマシン,30kg;10
20230127,スクワット,60kg;13
20230127,ラットプルダウン,40kg;10
20230127,プルアップ,5
20230203,スクワット,72.5kg;8
20230203,ダンベルベンチ,18kg;8
20230207,デッドリフtト,87.5kg;6
20230207,ラットプルダウン,40kg;10
20230207,プルアップ,3
20230210,ベンチプレス,40kg;14
20230210,ランニング,1km
20230212,スクワット,72.5kg;10
20230212,ランニング,1km
